,Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
126,Rwanda,Africa,133194,1028.349,0,0.0,0,1468,11.334000000000001,0,0.0,0
127,Cameroon,Africa,125087,471.211,0,0.0,0,1972,7.428999999999999,0,0.0,0
128,Malta,Europe,118858,23098.779,43,8.357000000000001,0,840,163.245,1,0.19399999999999998,0
129,Barbados,Americas,107794,37509.873999999996,0,0.0,0,593,206.351,0,0.0,0
130,Angola,Africa,105384,320.645,0,0.0,0,1934,5.8839999999999995,0,0.0,0
131,French Guiana,Americas,98041,32824.542,0,0.0,0,413,138.274,0,0.0,0
132,Democratic Republic of the Congo,Africa,96890,108.18299999999999,0,0.0,0,1467,1.6380000000000001,0,0.0,0
133,Senegal,Africa,88999,531.53,0,0.0,0,1971,11.770999999999999,0,0.0,0
134,Malawi,Africa,88662,463.472,0,0.0,0,2686,14.040999999999999,0,0.0,0
135,Côte d’Ivoire,Africa,88331,334.86300000000006,0,0.0,0,835,3.165,0,0.0,0
136,Suriname,Americas,82563,14074.07,50,8.523,0,1406,239.673,1,0.17,0
137,New Caledonia,Western Pacific,80064,28043.629,0,0.0,0,314,109.98299999999999,0,0.0,0
138,French Polynesia,Western Pacific,78596,27979.267000000003,0,0.0,0,649,231.03599999999997,0,0.0,0
139,Eswatini,Africa,74670,6436.159000000001,0,0.0,0,1425,122.82700000000001,0,0.0,0
140,Guyana,Americas,73265,9314.705,8,1.0170000000000001,0,1298,165.024,0,0.0,0
141,Belize,Americas,70782,17801.06,0,0.0,0,688,173.02599999999998,0,0.0,0
142,Fiji,Western Pacific,69029,7700.305,0,0.0,0,884,98.61200000000001,1,0.11199999999999999,0
